InnerRadius,Length,Quadratic,Linear,InnerRadius2,Length2,Quadratic2,Linear2,Generation,Fitness
6.367150,44.5895,-0.004873,0.131139,0.693142,38.4979,-0.004145,0.32098000000000004,2,5.26619
3.073630,51.8379,-0.002491,0.098087,5.404990,39.5897,0.008075,-0.277617,2,5.3726
4.478950,38.6925,0.005581,-0.197278,7.075560,79.4424,0.001537,-0.174977,2,5.6152
2.287540,107.293,-0.000122,0.007398999999999999,1.164370,41.6008,-0.008779,0.393928,2,5.3276900000000005
1.068890,42.8384,-0.005457,0.338187,5.330040,45.1202,-0.004674,0.17758,2,5.19853
2.659810,38.7073,-0.005458,0.26669499999999996,6.843870,40.6597,0.001418,-0.174129,2,5.43694
4.984660,18.5262,-0.005582999999999999,0.16385999999999998,3.108850,68.1708,0.002966,-0.156445,2,5.2396400000000005
6.594600,47.0926,0.001302,-0.119499,4.588280,12.448,-0.035802,0.361512,2,5.41205
6.387510,41.7723,-0.003221,0.039205000000000004,2.955130,37.9577,-0.006961,0.266897,2,5.34226
1.461600,54.8506,-0.00285,0.242123,6.728000,50.3246,-0.001072,-0.016669999999999997,2,5.35931
0.043840,41.5234,-0.007469,0.464388,5.404990,39.2727,0.008075,-0.277617,2,5.47515
3.722020,114.997,0.001064,-0.120566,0.285692,35.8813,-0.010801999999999999,0.446242,2,5.03279
4.984660,47.0926,-0.005582999999999999,0.164528,2.537570,68.1708,0.001377,-0.110404,2,5.31606
2.017460,42.9699,0.0057020000000000005,-0.17496,3.256880,65.0761,0.002966,-0.156445,2,5.4057900000000005
3.874050,111.244,0.0010960000000000002,-0.124142,5.404990,39.2727,0.008075,-0.275048,2,4.987
1.677020,20.3532,0.024975999999999998,-0.229121,4.784190,16.2073,0.010112999999999999,-0.030348000000000003,2,5.681690000000001
0.947507,38.0687,0.00095,-0.042526,7.520420,42.322,0.001064,-0.112903,2,5.5580300000000005
1.068890,44.1055,-0.005692,0.338187,6.773270,66.5819,0.001418,-0.17452,2,5.36509
4.671150,42.6853,-0.005582999999999999,0.16385999999999998,5.233760,75.789,-0.000121,-0.028681,2,5.42489
7.040930,41.9489,0.002607,-0.19195299999999998,6.074800,75.2862,0.001064,-0.11785999999999999,2,5.566319999999999
